ID,class,nfp,qs_error,aspect_ratio,mean_iota
2445074,QH,3,-3.1847,12.000,1.4
1836628,QH,3,-3.2538,24.001,1.5
1445098,QH,3,-3.4656,12.000,1.4
2445239,QH,3,-3.1047,12.000,1.5
1700131,QH,3,-3.5914,24.000,1.1
1517956,QH,3,-2.6894,6.000,2.1
1626853,QH,3,-2.8969,8.000,1.5
1333420,QH,3,-2.9215,8.000,1.8
1736006,QH,3,-2.7938,12.000,1.5
2447537,QH,3,-2.9368,12.000,1.3
1624686,QH,3,-2.7906,8.000,2.1
1266029,QH,3,-2.3634,24.000,1.2
1907269,QH,3,-2.2151,8.000,1.2
1661867,QH,3,-2.1538,6.000,1.2
1445211,QH,3,-2.0869,12.002,1.5
1700146,QH,3,-2.2688,24.000,1.2
1486742,QH,3,-2.2249,8.000,1.3
1335098,QH,3,-2.0098,8.003,1.8
2518816,QH,3,-1.7002,6.001,1.5
2441815,QH,3,-2.0118,12.001,1.6
1803985,QH,3,-1.9398,6.000,1.1
1733102,QH,3,-1.8498,12.003,1.3
2160797,QH,3,-1.8646,12.000,1.5
1567468,QH,4,-3.8916,24.000,1.7
1257819,QH,4,-4.7686,24.000,1.7
1259243,QH,4,-4.3651,24.000,1.3
1848895,QH,4,-4.0951,24.000,1.7
2417717,QH,4,-3.8826,24.000,1.5
1703864,QH,4,-3.8308,24.000,1.9
1851606,QH,4,-3.2171,24.000,1.4
1295205,QH,4,-3.1844,12.000,1.8
1742813,QH,4,-3.4587,12.000,2.0
1886120,QH,4,-3.2462,12.000,2.4
1708968,QH,4,-3.4298,24.000,1.2
1705245,QH,4,-3.4863,24.000,1.2
1737821,QH,4,-3.0456,12.000,2.2
1331217,QH,4,-2.7069,8.000,1.2
1328722,QH,4,-2.8310,8.000,1.1
1952403,QH,4,-2.9839,6.000,1.5
2453253,QH,4,-3.0418,12.000,1.5
1632094,QH,4,-2.6441,8.000,1.5
1601622,QH,4,-2.4295,12.005,2.5
2487574,QH,4,-2.4790,8.000,2.5
2485498,QH,4,-2.3166,8.000,1.1
2488091,QH,4,-2.5397,8.000,1.2
1673573,QH,4,-2.2089,6.000,1.3
1776157,QH,4,-2.3360,8.000,1.1
1781536,QH,4,-2.0473,8.000,2.1
1775270,QH,4,-1.6840,8.001,2.1
