ID,nfp,iota,aspect,elongation,mean_elongation,curvature,msc,qs_type,nc_per_hp,n_coils,d_min_over_a,d_min_over_R0,nonplanarity,nonplanarity_max,point_gini,point_pr_over_n,coil_peak,coil_gini,coil_pr_over_n
260277,5.0,0.9,5.001109273,4.737130219,3.2346034956,4.9858843746,5.0014587939,0.0,1.0,10,0.7141998867561151,0.1392387270934546,0.33391083939398275,0.3339108393939829,0.3133028722856148,0.3370332807974002,2.8090833928569507,8.226193305549001e-08,0.999999999999907
260407,5.0,0.9,20.0016653189,4.2194650348,3.0486389958,4.9843111713,4.9999766713,0.0,1.0,10,2.771089519382907,0.1380324527826915,0.47609165018787447,0.47609165018787464,0.32162979637967226,0.40007064120390545,2.544998922421223,5.122587080039572e-09,0.9999999999999998
260624,5.0,0.1,19.9999996987,2.013847466,1.5729699988,4.9999990881,5.0000002752,0.0,2.0,20,2.285213962955384,0.11237451334916251,0.264146014998332,0.45515246998313086,0.3519116435034096,0.3442816039508093,3.117803826257411,0.07510660923051674,0.9205438995690989
260855,5.0,0.1,20.0000000672,3.0014739656,2.2986002647,4.9812355614,4.9999999785,0.0,2.0,20,2.1475183523711627,0.10593490544586913,0.2485159604458283,0.3670468886219442,0.3106864260409703,0.2941973918397974,3.249229098054949,0.0917586650782488,0.8880370847929285
261310,5.0,0.2,20.0000001689,3.1675966885,2.3083955292,4.7770243,5.0000004129,0.0,2.0,20,2.3105796268364296,0.11395031192273113,0.2650053841312354,0.3968310273060946,0.35845087118061736,0.30440944327904895,3.148812692692231,0.0612258936739434,0.9449841957733719
261660,5.0,0.3,20.0000024363,3.8005202181,2.5920356607,4.4503584384,5.0000017689,0.0,2.0,20,2.094966875129278,0.10317254840926543,0.17294667362083618,0.1838801822094264,0.3348672818020862,0.28797412427107066,3.3650659837954366,0.07719603021542401,0.916624261118845
261681,5.0,0.3,20.0000011645,2.4446308321,1.9758549986,4.1649750916,5.0000003604,0.0,2.0,20,2.6539339954486123,0.13057575079755332,0.2878732093763564,0.29720452473126985,0.294833518804048,0.41525229528319235,2.6379807720485715,0.04377038493259022,0.9706956018004472
261849,5.0,0.4,20.0000037288,2.6443253059,2.0520028471,4.5833164805,5.000000258,0.0,2.0,20,2.683307334730916,0.13212614555895208,0.17016362472555296,0.277552628291432,0.28294349977141103,0.48186138845675236,2.1906556714705543,0.00805716673580559,0.9989630586905133
262171,5.0,0.5,20.0001230363,2.0046638644,1.9672521697,5.0000042569,5.0000450753,0.0,2.0,20,4.667043223507709,0.23339468136460317,0.23275101491590786,0.3146236960116038,0.27688927796049106,0.5244463315675659,2.2874759654366406,0.013152457476159075,0.9972436506869643
294767,1.0,0.2,3.9999990868,3.0518894986,2.1497739502,2.2294822754,2.2696237378,0.0,4.0,8,1.1960257192123285,0.29198371694514197,0.16607627332517316,0.20296272697628664,0.3670927384908455,0.34145567547111727,3.0473798937448406,0.007421627915549206,0.9992451733354406
361824,2.0,0.4,9.999997164,4.0207857131,2.7902834683,3.1378213089,5.0000001697,0.0,2.0,8,2.970944380691068,0.29753423732547346,0.2592381879301403,0.32358729515728313,0.32288571529682314,0.3381034146754316,3.021271405162875,0.047856249068353986,0.965268417190604
366459,2.0,0.8,6.6666523436,8.9492400205,8.1494973506,3.2062852819,4.0444166428,0.0,2.0,8,1.47423971893935,0.2242919306733335,0.2543167472175098,0.38062848322748605,0.328995571316589,0.4912205997267526,2.5181512009421234,0.14312771918288655,0.781249468295606
391491,3.0,0.3,6.6654765823,2.9378328715,2.2803290016,3.0129623322,3.6570466835,0.0,1.0,6,1.8905839791392511,0.28220318932727295,0.3348645537922839,0.3348645537922841,0.2671706012796566,0.5092285132429285,2.2050985931332128,0.0,0.9999999999999999
606074,2.0,0.2,20.0000215007,2.1056740567,1.9503899193,4.7585392123,5.0000041453,0.0,2.0,8,7.916131510041959,0.39451815152811187,0.23503679110416212,0.23959087532355636,0.369954410986674,0.3958596956535805,2.5708207027427643,0.0998864031485503,0.871369420085108
638925,3.0,0.4,20.000000571,2.9173138586,2.3233160966,4.905226678,5.0000002293,0.0,1.0,6,6.181185230278783,0.30775758427206423,0.26973437009573586,0.2697343700957359,0.3856197984749913,0.3399538231793467,2.893065804398876,6.210586988194107e-17,1.0000000000000002
646306,3.0,0.2,5.0000015256,2.7693222102,2.0842528632,4.9997952352,4.999928232,0.0,2.0,12,0.7358640843292921,0.13754578432199624,0.30279928444301224,0.3993421502647682,0.2921234540151747,0.467071369221334,2.287069208012031,0.05291780977247411,0.9580217861611627
649055,3.0,0.5,10.0000009303,3.9834695802,2.8481959763,4.9052715172,5.0000002455,0.0,2.0,12,2.065593318719298,0.20455634205357148,0.19611824834678815,0.20550816689010742,0.31675664320512953,0.3764292639175153,2.9329441070164575,0.050961906461373,0.9608882333787393
657580,3.0,0.7,20.0036636418,5.2481059299,3.6453872796,4.1780465632,5.0000008669,0.0,3.0,18,5.686267618525961,0.2839534980516514,0.17337592192438997,0.2759599604031134,0.30400781980572017,0.3484779261447854,3.3263202797688387,0.02840950791156313,0.9865691480040469
665963,4.0,0.6,4.0011840006,2.7809176807,2.3274397063,5.0006924104,4.9459620011,0.0,1.0,8,0.6421065187323641,0.1619289493914249,0.35234379990974174,0.35234379990974185,0.2971297003262356,0.41235170941446986,2.5798085586057153,2.888798877809247e-17,1.0
666449,4.0,0.6,20.0000063951,4.4138470153,2.9494187737,4.761848502,5.0000026828,0.0,1.0,8,4.7506627371195425,0.23605852615692238,0.4361750645062994,0.43617506450629945,0.293077499090631,0.4102537558379253,2.494924586711135,0.0,0.9999999999999998
668330,4.0,0.8,3.3337358669,5.1403709448,3.4128782514,4.4889302445,5.002120791,0.0,1.0,8,0.20062314900999426,0.05576945370733813,0.3600564046252978,0.3600564046252979,0.2737143244309625,0.45764827199841174,2.32278942084204,5.859802975866032e-17,0.9999999999999999
