ID,class,nfp,aspect,d_min_over_a,gap_m_ARIESCS,blanket_fit_1.29m,blanket_fit_1.0m
1577073,QH,2,12.000,2.3826,4.060,1,1
1601622,QH,4,12.005,1.7785,3.031,1,1
1607357,QH,5,12.000,1.7632,3.004,1,1
1610630,QH,5,12.000,2.0272,3.454,1,1
1611640,QH,5,12.000,2.1726,3.702,1,1
1624686,QH,3,8.000,1.1858,2.021,1,1
1626853,QH,3,8.000,1.5783,2.689,1,1
1632094,QH,4,8.000,1.1664,1.988,1,1
1642116,QH,5,8.000,1.1674,1.989,1,1
1642553,QH,5,8.000,1.1748,2.002,1,1
1642802,QH,5,8.000,1.1864,2.022,1,1
1661867,QH,3,6.000,1.2494,2.129,1,1
1673573,QH,4,6.000,0.8764,1.493,1,1
1680659,QH,5,6.000,0.8193,1.396,1,1
1681455,QH,5,6.000,0.8808,1.501,1,1
1697632,QH,3,24.000,6.3144,10.760,1,1
1700131,QH,3,24.000,5.2224,8.899,1,1
1700146,QH,3,24.000,6.1458,10.472,1,1
1703864,QH,4,24.000,3.9423,6.718,1,1
1705245,QH,4,24.000,4.0456,6.894,1,1
1708968,QH,4,24.000,3.6903,6.288,1,1
1733102,QH,3,12.003,1.7901,3.050,1,1
1736006,QH,3,12.000,3.0527,5.202,1,1
1737821,QH,4,12.000,1.7260,2.941,1,1
1742813,QH,4,12.000,2.5329,4.316,1,1
1747877,QH,5,12.000,1.7677,3.012,1,1
1749785,QH,5,12.000,1.8894,3.220,1,1
1755224,QH,2,8.000,1.4353,2.446,1,1
1758284,QH,2,8.000,1.5695,2.675,1,1
1775270,QH,4,8.001,0.0542,0.092,0,0
1776157,QH,4,8.000,1.1870,2.023,1,1
1781536,QH,4,8.000,1.4603,2.488,1,1
1785050,QH,5,8.000,1.1777,2.007,1,1
1793879,QH,2,6.000,1.0369,1.767,1,1
1803985,QH,3,6.000,1.0702,1.824,1,1
1809398,QH,4,6.000,0.8696,1.482,1,1
1818651,QH,5,6.007,0.8792,1.498,1,1
1821296,QH,5,6.000,0.8756,1.492,1,1
1826834,QH,2,24.000,6.5332,11.133,1,1
1836628,QH,3,24.001,4.8907,8.334,1,1
1836693,QH,3,24.000,5.5128,9.394,1,1
1841479,QH,3,24.000,4.7206,8.044,1,1
1848895,QH,4,24.000,5.1514,8.778,1,1
1851606,QH,4,24.000,4.2994,7.326,1,1
1854549,QH,5,24.000,3.5452,6.041,1,1
1856039,QH,5,24.000,3.5468,6.044,1,1
1856583,QH,5,24.000,3.8282,6.523,1,1
1872066,QH,3,12.000,2.7348,4.660,1,1
1886120,QH,4,12.000,2.2790,3.883,1,1
1893882,QH,5,12.000,1.7849,3.041,1,1
1894960,QH,5,12.000,1.7889,3.048,1,1
1895847,QH,5,12.000,2.1432,3.652,1,1
1907269,QH,3,8.000,1.6991,2.895,1,1
1907475,QH,3,8.000,1.7092,2.912,1,1
1952403,QH,4,6.000,0.9571,1.631,1,1
1960314,QH,5,7.023,0.8988,1.532,1,1
1968931,QH,6,24.000,2.8281,4.819,1,1
1969175,QH,6,24.007,2.6262,4.475,1,1
1969176,QH,6,24.000,3.4565,5.890,1,1
1969311,QH,6,24.000,3.5316,6.018,1,1
1970299,QH,6,24.000,3.5957,6.127,1,1
1970412,QH,6,24.000,3.9245,6.687,1,1
1970427,QH,6,24.000,3.7343,6.363,1,1
1970553,QH,6,24.000,3.5711,6.085,1,1
1970577,QH,6,24.000,2.4282,4.138,1,1
1971023,QH,6,24.000,3.5610,6.068,1,1
1971503,QH,6,24.000,3.8726,6.599,1,1
1971507,QH,6,24.000,3.7682,6.421,1,1
1972229,QH,6,24.000,3.5400,6.032,1,1
1973204,QH,6,24.000,4.2814,7.296,1,1
1973589,QH,6,24.012,3.5334,6.021,1,1
1973808,QH,6,24.000,4.2483,7.239,1,1
1974924,QH,6,24.000,3.5943,6.125,1,1
1975045,QH,6,24.000,3.6391,6.201,1,1
1976169,QH,6,24.000,3.7232,6.344,1,1
1976590,QH,6,24.000,3.5654,6.075,1,1
1977096,QH,6,24.000,3.5782,6.097,1,1
1980528,QH,7,24.000,3.5601,6.066,1,1
1981017,QH,7,24.001,3.4717,5.916,1,1
1981145,QH,7,24.011,3.5321,6.019,1,1
1983033,QH,7,24.000,3.5713,6.085,1,1
1983200,QH,7,24.000,3.5850,6.109,1,1
1983464,QH,7,24.000,3.5915,6.120,1,1
1983700,QH,7,24.000,3.5824,6.104,1,1
1983961,QH,7,24.000,3.5632,6.072,1,1
1984568,QH,7,24.000,3.5903,6.118,1,1
1985360,QH,7,24.000,3.6270,6.180,1,1
1985616,QH,7,24.000,3.5812,6.102,1,1
1986143,QH,7,24.000,3.5978,6.131,1,1
1986156,QH,7,24.000,3.9288,6.695,1,1
1986368,QH,7,24.000,3.5902,6.118,1,1
1986894,QH,7,24.000,3.6410,6.204,1,1
