ID,nfp,symmetry_class,aspect,a,R0,n_coils,nc_per_hp,qs_error,d_min,d_min_over_a,d_min_over_R0,d_min_per_coil_min,d_min_per_coil_max
136610,1,QA,3.3341330737,0.2999267512,0.9845553123340707,12,6,-2.1054423374,0.11579629419384492,0.3860819141025154,0.11761278695386689,0.11579629419384492,0.2911822900377547
136694,1,QA,3.3329222391,0.3000123338,0.986981085668739,12,6,-1.9715111453,0.07739910037823497,0.25798639475213125,0.0784200442157333,0.07739910037823497,0.3221372379305525
136695,1,QA,2.8576165208,0.3499403194,0.9773528067031253,12,6,-2.0300532021,0.06588331946244991,0.18827015868137748,0.0674099659924159,0.06588331946244991,0.26868336392337266
137202,1,QA,6.662459111,0.15003157,0.9995383483234285,12,6,-2.2985136422,0.4093511825054618,2.728433639036516,0.40954024744731937,0.4093511825054618,0.5539385966213354
137693,1,QA,5.0012846617,0.1999485013,0.9860126493087296,12,6,-2.5364535022,0.19347161540448174,0.9676072295945823,0.1962161596406701,0.19347161540448174,0.39028063954284437
137694,1,QA,4.0029131623,0.2499393386,0.9860108023545272,12,6,-1.8188497993,0.15784049199596603,0.6315152023690521,0.1600798810916205,0.15784049199596603,0.32131170711011986
150260,1,QA,3.3333334194,0.2999999974,1.019932049747555,16,8,-3.494616851,0.13031289459688275,0.43437631908753727,0.1277662513195234,0.13031289459688275,0.31420270301219444
160285,1,QA,2.8571429048,0.3499999981,1.07491334614524,20,10,-2.5113416377,0.17471870349105678,0.4991962983986564,0.16254212873774213,0.17471870349105678,0.3142748428227501
161137,1,QA,4.000000005,0.2499999999,1.009917583841286,20,10,-3.4123399862,0.22042198854873307,0.8816879545476075,0.21825740246084635,0.22042198854873307,0.33115417921414164
161631,1,QA,10.0000000038,0.1,1.001202786005229,20,10,-4.4194677113,0.20365621178958043,2.036562117895804,0.20341155122246812,0.20365621178958043,0.5441098176980896
161900,1,QA,4.0000000421,0.2499999991,1.002775138486027,20,10,-2.8677511449,0.18579969943207544,0.7431988004038175,0.18528550649210618,0.18579969943207544,0.414166965381864
162351,1,QA,20.0001582849,0.0499996056,0.9994151642932094,20,10,-3.7224597952,0.3679093108222173,7.358244258275056,0.36812460323473706,0.3679093108222173,0.581473228836641
162397,1,QA,4.000000181,0.2499999962,0.9822826758561161,20,10,-2.6769148589,0.22831195516132022,0.913247834526648,0.2324299926824355,0.22831195516132022,0.36448648604028633
164739,1,QA,10.0000466925,0.0999995383,1.000398050461456,22,11,-3.4782403669,0.30564225792467364,3.056436690814938,0.3055206452908313,0.30564225792467364,0.41404750084218056
164985,1,QA,6.6666665302,0.150000001,0.9960107336891293,22,11,-3.7163717665,0.2546273057083593,1.697515360072293,0.25564715027241114,0.2546273057083593,0.45912849001250444
166515,1,QA,2.8572250762,0.3499966428,1.002164705371132,24,12,-1.7815117768,0.03210353288285278,0.09172525949398273,0.03203418830337262,0.03210353288285278,0.29681946513528157
167607,1,QA,2.8571500536,0.3499982772,1.005958000194509,26,13,-2.3967684982,0.056582138369625154,0.16166404824127847,0.0562470186217363,0.056582138369625154,0.1898230624247566
