ID,class,nfp,ok,passed,C,S_phi,boundary_flux_rms,boundary_flux_max,aspect
1063718,QA,2,1,1,0.8396401903775327,0.5729101656783937,0.04433776291136699,0.18578133978725025,3.3336505723
614248,QA,2,1,1,0.9889221085855943,0.9669152001987393,0.0003098419619750104,0.0008389524965606748,3.3334802524
178713,QA,2,1,1,0.9736287934397253,0.9216948738455453,0.0006591872913781996,0.002070409176823376,4.9999744355
170979,QA,2,1,1,0.9527386556291613,0.8640402141263224,0.0018395669591335089,0.008768212602570071,3.9999004426
605590,QA,2,1,1,0.9828789852167519,0.9487389942355666,0.0010146789249903124,0.0041683164420807306,2.8570855708
352697,QA,2,1,1,0.9814122856041346,0.9445632054383462,0.0004898508752002507,0.0015110732071749533,6.6644577917
362828,QA,2,1,1,0.9157294394973384,0.7622041801552397,0.011899135919550247,0.04050114104603147,4.0000497558
804212,QA,3,1,1,0.998751642118818,0.9959562065707412,0.006352166213543255,0.046391572512940356,5.0000015978
929147,QA,3,1,1,0.9825190685560121,0.9464201496083029,0.0013654790389984557,0.007674810529035156,6.6666685672
655056,QA,3,1,1,0.9982180881592391,0.9943046414545129,0.005669427182511214,0.03045135319551424,5.0000012376
63512,QA,3,1,1,0.9584546454616867,0.8763472051691223,0.002025466630630938,0.008486782149391256,10.0005344449
1091820,QA,3,1,1,0.9951325098024059,0.9848449740946206,0.001097333867144499,0.00570542118080208,6.6666664326
56078,QA,3,1,1,0.9826072695169366,0.9468274314993852,0.0006133468824904812,0.0022306385949423684,10.0000020541
655894,QA,3,1,1,0.9881250906539136,0.9636903373878689,0.0020200942186630946,0.005045769476050894,10.0004684645
654496,QA,3,1,1,0.9990301984049227,0.9969724230599633,0.0030189118544789134,0.019534969831286518,5.0000003103
814649,QA,3,1,1,0.978780613549953,0.9356680368579577,0.0034041133940828686,0.01668634535190112,5.0000140305
813746,QA,3,1,1,0.9895220276964534,0.9675418487422347,0.011100642076140877,0.0948664841615959,5.0000281274
1083311,QA,3,1,1,0.9862631763794285,0.9584484808418219,0.01612431589389893,0.061295104096128095,3.3338384505
1075139,QA,3,1,1,0.9820452250952828,0.9465560409138303,0.0009682760324937879,0.002437012536672061,6.6663354205
798536,QA,3,1,1,0.9604262509014393,0.8845923792447676,0.004586635259202844,0.029617382592522036,3.9997207992
644664,QA,3,1,1,0.9990365753020929,0.9969684286150944,0.012390837124370236,0.09717623658106823,2.8572026662
795372,QA,3,1,1,0.9889231031384252,0.9664583989938913,0.007555590718499754,0.03392407654072801,3.9998447558
676390,QA,4,1,1,0.9994560497934802,0.9983190103191459,0.0007622542603496416,0.0032065543706398863,10.0000000879
828311,QA,4,1,1,0.9994965136376789,0.9984454760132611,0.0011065867042446215,0.00639371144655991,9.999999779
81684,QA,4,1,1,0.9995977246750021,0.9987551313368359,0.0017911055438664155,0.01035094538649021,9.9999999762
81782,QA,4,1,1,0.9995312330019546,0.9985486124566845,0.0008371966341161113,0.0030678129454758908,10.0000001689
827912,QA,4,1,1,0.9996245917594432,0.998832252233613,0.0012745263530950855,0.005768630813986053,10.0000000794
245449,QA,4,1,1,0.9978083694215345,0.9929822408508155,0.0032312120068614153,0.01730142895176993,10.000003431
670664,QA,4,1,1,0.9993517377594204,0.9979661839126603,0.0036612690549514193,0.016415525321676033,10.0000023793
671749,QA,4,1,1,0.9984871712367878,0.9951966034120945,0.0033563854383517207,0.01727159024663432,10.0000020879
670125,QA,4,1,1,0.9996278157738046,0.9988522608662729,0.0013221167288774696,0.006118452503721285,10.0000015168
234221,QA,4,1,1,0.9996626297232638,0.9989618453774272,0.0009444966501698839,0.0039469528710321476,10.0000034253
67327,QA,4,1,1,0.9992458586328407,0.9976126181277665,0.0028761904767192494,0.01258467485481819,10.0000008008
1106127,QA,4,1,1,0.984328819528018,0.9522296579043892,0.003119417610731199,0.015554313589433976,10.0000129384
829795,QA,4,1,1,0.9983043919267982,0.9946503860223335,0.003207628026574986,0.01943506772198301,9.9999270046
243125,QA,4,1,1,0.9995848689932926,0.9987272736189632,0.0003765206161152687,0.001562214404183278,9.9999971527
243699,QA,4,1,1,0.9989712139611883,0.9967935376886223,0.001825069683632634,0.012292758628338766,10.0000082417
945288,QA,4,1,1,0.9910509470873274,0.9724035155040072,0.0017684815497988114,0.006857546946925649,10.0000558198
73515,QA,4,1,1,0.9875092677282268,0.9615718725431537,0.0019800439315715798,0.005513020592055742,10.0000774697
666184,QA,4,1,1,0.993558024623833,0.9797674086770036,0.0017734208445500854,0.009069134893416427,10.0000318853
662488,QA,4,1,1,0.9964237065700982,0.989102375051824,0.0007152256875849934,0.002082211547013926,10.000028622
948144,QA,4,1,1,0.9832293219902276,0.9492529778866441,0.0031511495930770335,0.014932769344463456,10.0000823065
940385,QA,4,1,1,0.9995266414487733,0.9981757773027946,0.030100222362525984,0.22720470759991868,3.3333284025
1098866,QA,4,1,1,0.9870917434982448,0.9611659485573802,0.03401832180346439,0.20428342380847592,2.858118241
945522,QA,4,1,1,0.9628147436540749,0.891826376087298,0.011718975907056561,0.036513092496296605,4.0013592398
1112543,QA,4,1,1,0.9296433594085055,0.803530226911352,0.025687348158597464,0.09880009404590522,3.333523297
251798,QA,5,1,1,0.9998410637815385,0.9995012183054806,0.0014231600539338642,0.005205027485610239,10.0000090375
251756,QA,5,1,1,0.9998652227939892,0.9995763249347955,0.0020721899951380543,0.009459763770749127,10.0000072715
252666,QA,5,1,1,0.9997118648087471,0.999063166892967,0.003520725143518828,0.01616529696867728,10.0000095825
261059,QA,5,1,1,0.9997540201920063,0.9991679049453761,0.005301512439870925,0.0320781083621534,10.0000081819
253933,QA,5,1,1,0.9994611664132154,0.9982783578032972,0.0036685540008105423,0.016946898231572072,10.0000278461
251182,QA,5,1,1,0.9992863743959056,0.9978455249667282,0.0005271826622864572,0.0018045393868769692,10.0000432788
252883,QA,5,1,1,0.999620344521898,0.9987621771130883,0.002887595681874902,0.015140846201079956,10.0000172195
251273,QA,5,1,1,0.9997025856781666,0.9990844431530486,0.0012189166946613122,0.004783584071566193,10.0000162243
252211,QA,5,1,1,0.998440756531614,0.9952750788024549,0.0007873471679204784,0.002613684551475825,10.0000905331
256838,QA,5,1,1,0.9961280521824822,0.9877125551163288,0.004036826256633433,0.02043715842114041,10.0001721049
259064,QA,5,1,1,0.9901975421209662,0.9704770364172122,0.001942404110078741,0.004513753465490362,10.0004289135
253153,QA,5,1,1,0.9885817621423162,0.9656488690080378,0.02498934555356753,0.14251965121993151,3.3350503998
259106,QA,5,1,1,0.9895970034469835,0.968774073995798,0.0025955486181744136,0.006700690919059873,10.000516599
257182,QA,5,1,1,0.9897352567817768,0.9691347763988778,0.007163883530935606,0.022438123048547573,6.6696517033
251430,QA,5,1,1,0.9996049128285279,0.998766223342721,0.012034280244764078,0.06193578237828171,4.0000763135
2155439,QH,2,1,1,0.7426717262280208,0.3567679072769647,0.003047019881783111,0.012850960183983018,11.9999997981
2290895,QH,2,1,0,,,0.025486590961254302,0.1350625861664547,11.9999995931
2297082,QH,2,1,1,0.6970722138508522,0.2776280806487097,0.0030273449004627334,0.012345962596539611,11.9999998173
2299426,QH,2,1,1,0.6777086264386459,0.28776232136124524,0.0028038181702490193,0.009756503716400033,11.9999992557
2324457,QH,2,1,1,0.63146742817568,0.1523801854965089,0.0037604903233052563,0.01965734499491991,8.0000000613
2326591,QH,2,1,0,,,0.004532877283085567,0.018854499201230123,7.9999995021
2324337,QH,2,1,1,0.6573063286089075,0.2371262597228493,0.004890720010319896,0.021002708988880996,7.9999992594
1438188,QH,2,1,1,0.7289270319389122,0.35336549771427916,0.003824074123126549,0.017203018641500194,11.9999979611
2431074,QH,2,1,1,0.7023003806534517,0.3512535292841671,0.003755738382822936,0.011770197340719862,11.9999999594
1862130,QH,2,1,1,0.7515340922630079,0.43015541841447336,0.016988756870427908,0.08174855103217053,11.9999997375
2191634,QH,2,1,1,0.6397645151112801,0.18194513598539097,0.040912934148089664,0.2339249887003159,7.9999997141
2148208,QH,2,1,1,0.7161722687919931,0.31501067603018584,0.00315009260046678,0.012057550255989853,11.9999907544
2147970,QH,2,1,1,0.7134941609844746,0.2745047196732635,0.007413146090503785,0.020970679851188483,11.9999944154
2331080,QH,2,1,1,0.7054608872192125,0.2910529665514586,0.0021149914675926062,0.009258814767352241,7.999993453
2370233,QH,2,1,1,0.6431520418538872,0.17358220293774862,0.012145963961055805,0.06623988159601492,6.0000208768
2332383,QH,2,1,1,0.5986609725382832,0.0953630567135555,0.005017396452463437,0.021338289179734595,7.9999985705
2331975,QH,2,1,1,0.8542146337117839,0.6067319905840936,0.007948474154581995,0.031073167178197088,7.9999630779
2362117,QH,2,1,1,0.7806340170074139,0.4406452143693729,0.017242296441712372,0.11175444211785739,5.9999905211
2359941,QH,2,1,1,0.827755915751485,0.560981488554912,0.045277778747363676,0.2285794597283391,5.9999607953
2334466,QH,2,1,1,0.847343441572811,0.5874558488246879,0.005088497481227725,0.011819324993608752,7.9999809102
2300307,QH,2,1,1,0.9082059333114328,0.7423756304832563,0.0039507222656228885,0.008657053858027385,11.9999636513
2183075,QH,2,1,1,0.8786962310221983,0.6713975837213306,0.02017026095297344,0.06492717028171976,7.9995731461
1509160,QH,2,1,1,0.8543858986127407,0.6166559962347791,0.022619148439355845,0.07326328762544763,6.0001022583
2364205,QH,2,1,1,0.8742600217242041,0.6617397018000313,0.013674152558299969,0.034800067227075765,5.9998106116
2229465,QH,2,1,1,0.8556786864955325,0.622346772993551,0.0055125302208101695,0.03054181584614359,5.99982545
2373150,QH,2,1,1,0.8761391463639464,0.6694079850874988,0.027733199949801897,0.10490325068729055,5.9996560783
1651816,QH,2,1,1,0.9015900819961534,0.7318594373362584,0.026340477822970044,0.09397127834237025,5.999670844
1586915,QH,3,1,1,0.7389676819155906,0.33359317410571654,0.0035858698402374445,0.012103827990692775,11.9999999021
1587695,QH,3,1,1,0.7494257664853947,0.34316213489199,0.0032024474229559174,0.008718411221342912,11.999999222
1151583,QH,3,1,1,0.709831084990034,0.2786835930406939,0.003527154996940231,0.011082675461056573,9.9999998366
2473744,QH,3,1,1,0.747489658894804,0.3464265474542514,0.004733098352967759,0.02076981915283278,7.9999997252
1334841,QH,3,1,1,0.6493413450619541,0.11663584485486167,0.003974862769646816,0.013963588965370094,7.9999998207
1871778,QH,3,1,1,0.7317262630099239,0.35731822966546845,0.003138013011011653,0.008974273817441057,11.9999993529
2477003,QH,3,1,0,,,0.012951862786412168,0.05987293208404753,8.0000129423
1515524,QH,3,1,1,0.723751963501511,0.30268097883541145,0.004960950795587179,0.02237680269470683,6.0000001182
1484140,QH,3,1,0,,,0.009931164459720913,0.052570281175279246,7.9999989373
1767030,QH,3,1,0,,,0.04200862418990221,0.20617521468824007,7.9999996802
1943031,QH,3,1,1,0.7034639368395746,0.1554637267844644,0.021828735491087208,0.14808806427665389,5.9999992083
1298464,QH,3,1,1,0.8226959812223915,0.5221912577944521,0.010504091425801719,0.03949674093386657,11.999997197
2478703,QH,3,1,1,0.7880828061066552,0.46321807539136384,0.03362599921246943,0.13123061720772922,8.0001528589
1908382,QH,3,1,1,0.49887108757118725,-0.08035322776944243,0.04465588163506612,0.16705386688377155,7.9999983255
2160228,QH,3,1,1,0.8108924587483805,0.5096861691362469,0.002552364211341001,0.008124956823252424,11.9999974257
1805154,QH,3,1,1,0.6745241376501134,0.17353792480470287,0.0053519537258694605,0.01892014899049562,6.0001604345
1801583,QH,3,1,1,0.6083985906374867,0.08004098863684028,0.013355136070599323,0.08227709667954393,5.9999964258
1947079,QH,3,1,0,,,0.007614528480265972,0.025435040991767296,5.999993091
1910927,QH,3,1,1,0.8642837795194769,0.6282959514088096,0.00345853818853082,0.018831670077168735,8.0000996125
